Year,Month,AT,DPT,RH,PR,AP,WVP,SLP,AWS,ST,5ST,10ST,15ST,20ST,40ST,60ST,100ST,SR
2014,11,-5.5,-10.5,70,5.6,989,3,1019.3,2.3,,-0.9,-0.1,0,0.5,2.7,4.4,6.7,191.518
2014,12,-19.6,-22.6,77,0,990.4,1.1,1022.5,2,-19.8,-6.2,-5.2,-5.1,-4.5,-1.8,0.4,3.2,167.059
2015,1,-18.5,-22.1,74,0,994.1,1.1,1026.1,1.7,,-6.8,-6,-5.9,-5.5,-3.4,-1.6,1.1,206.326
2015,2,-13.4,-16.9,76,4.6,990.8,1.9,1022.1,2.1,-13.1,-6.4,-5.9,-5.8,-5.6,-4.1,-2.8,-0.2,259.32
2015,3,-4.5,-10,69,2.4,987.3,3.2,1017.5,2.4,,-2.5,-2.3,-2.3,-2.2,-1.8,-1.4,-0.5,444.048
2015,4,5.9,-3.8,55,5,983,4.9,1011.9,2.9,,1.7,1.4,1.4,1,-0.2,-0.3,-0.2,500.63
2015,5,12.1,4.1,63,43.6,975.3,8.5,1003.4,2.5,12.8,7.8,7.1,7,6.3,3.1,1.1,-0.1,543.205
2015,6,20.5,13.2,67,94.8,976.5,15.7,1003.7,2.2,20.7,15.6,14.7,14.6,13.9,10.4,8.2,4.7,597.458
2015,7,22.2,16.6,73,55.8,978.4,19.2,1005.7,1.7,28.4,21.9,21.3,20.9,20.1,17.9,15.4,12.1,683.02
2015,8,21.2,17.9,83,90.4,980.3,20.6,1007.5,1.5,24.9,22.4,22,21.8,21.3,19.7,17.8,15,493.698
2015,9,13.5,8.2,74,24.4,986.5,11.3,1014.9,1.6,16,15.2,15.2,15.3,15.3,15.4,15.1,14.2,440.426
2015,10,4.5,-2.2,65,25.8,984.9,5.9,1014.2,2.4,5,6.1,6.4,6.7,7.1,8.4,9.4,10.4,286.578
2015,11,-7.5,-13.5,65,2.4,998.4,2.6,1029.4,1.9,-7,-3.4,-2.8,-2.2,-1.3,1.1,3.1,5.5,192.317
2015,12,-16.4,-19.6,77,4,993.7,1.5,1025.6,1.7,-22.8,-5.3,-4.9,-4.5,-4,-2.3,-0.7,1.7,143.239
2016,1,-22.2,-25.7,73,0,993.7,0.8,1026.3,1.6,-16,-9.8,-9.2,-8.6,-7.7,-5.3,-3,0.1,215.303
2016,2,-15.6,-20.2,69,1.4,991.2,1.4,1022.9,1.9,-2.8,-10.6,-10,-9.6,-8.9,-6.8,-4.9,-1.9,304.087
2016,3,-3,-10,61,10,987.4,3.1,1017.5,2.3,7.8,-2.8,-3,-3,-3.1,-2.8,-2.4,-1.4,458.255
2016,4,5.6,-4.9,51,10.4,980.5,4.5,1009.4,3,17.2,3.4,2.8,2.5,1.9,0.4,-0.3,-0.3,481.921
2016,5,14.3,3.3,53,42.4,977.3,8.1,1005.3,3.1,22.5,10.2,9.5,8.9,8,5.4,2.6,0.1,528.713
2016,6,18.7,13.2,73,129.6,976.9,15.4,1004.4,2,28,17.6,16.9,16.5,15.5,12.9,10.1,6.4,545.828
2016,7,22.7,18.2,77,32.2,978.9,21.2,1006.1,1.8,23.4,22.4,21.8,21.4,20.7,18.6,16.3,12.9,636.014
2016,8,20.4,15.7,76,69.4,979.9,18.4,1007.3,1.8,16.3,19.7,19.3,19.1,18.7,17.6,16.2,14.4,547.982
2016,9,15.2,11.1,79,115.8,985.2,13.9,1013.3,1.9,2.5,15.9,15.8,15.8,15.8,15.6,15.2,14.3,330.943
2016,10,1.4,-5.2,64,30.6,989.9,4.7,1019.6,2.2,-12.3,4.2,4.7,5.1,5.7,7.3,8.7,10.3,297.756
2016,11,-13.2,-17.7,71,9.2,992.9,1.7,1024.4,2,-16.2,-2.5,-2,-1.6,-1,0.9,2.6,5,194.27
2016,12,-17.8,-21,77,1.2,993.8,1.3,1025.9,1.6,-17.8,-3.6,-3.3,-2.9,-2.5,-0.9,0.5,2.4,167.039
2017,1,-19.4,-22.6,76,0.8,993.5,1.1,1025.7,1.4,-14.2,-4.8,-4.4,-4.1,-3.7,-2.2,-0.8,1.1,169.725
2017,2,-14.1,-18.4,71,2.6,990.3,1.6,1021.9,2,-3.3,-6.9,-6.3,-6,-5.4,-3.7,-2.2,0,301.689
2017,3,-3.7,-9.4,67,0,989,3.3,1019.2,1.5,6.3,-1.9,-1.9,-1.9,-1.8,-1.4,-1.1,-0.3,448.837
2017,4,6.9,-3.6,52,7.6,978.3,5,1007.1,2.9,17.4,3,2.4,2.1,1.5,0.3,-0.1,0,482.972
2017,5,15.5,2.8,47,28.4,978.1,7.9,1006,3,23.3,10.9,10.1,9.6,8.6,6,3.4,1.6,633.097
2017,6,19.5,12.2,66,60.6,978.1,14.7,1005.6,2,28.4,18.1,17.3,16.9,15.9,13.5,11,8.1,586.585
2017,7,23.3,17,70,45.6,976.9,19.7,1004,1.7,23.1,22.8,22.2,21.8,21.1,19,16.6,13.4,666.731
2017,8,20.3,16.8,82,123.6,978.2,19.9,1005.7,1.8,14.5,21.1,20.8,20.7,20.3,19.3,17.9,15.5,469.689
2017,9,13.2,7.8,73,69.4,981.5,11.2,1009.7,1.8,3.5,13.9,13.9,14,14.1,14.4,14.3,13.9,422.418
2017,10,3.6,-5.1,56,3.2,991.9,4.5,1021.5,2.2,-1.6,4.5,4.9,5.2,5.7,7.2,8.5,9.9,295.257
2017,11,-10.7,-15.2,71,11,987.8,2.2,1018.9,1.9,-16.9,-0.3,0.1,0.4,0.9,2.4,3.7,5.6,198.647
2017,12,-21.6,-25,74,0,992.5,0.9,1025.1,1.4,-21.6,-4.1,-3.6,-3.1,-2.5,-0.6,0.9,2.9,173.594
2018,1,-23.1,-26.7,72,0.4,991.5,0.8,1024.2,1.6,-18.6,-5.6,-5.2,-4.9,-4.4,-2.8,-1.2,1,174.065
2018,2,-19.5,-23.6,70,0.2,991.4,1,1023.7,1.5,-8.2,-6.1,-5.8,-5.5,-5.1,-3.7,-2.3,-0.1,294.944
2018,3,-7.9,-13.5,65,2.2,989.5,2.6,1020.3,2.3,7.7,-3.4,-3.3,-3.2,-3,-2.4,-1.7,-0.5,462.893
2018,4,7.2,-3.7,51,44,982.5,5.1,1011.4,2.8,18.2,3.7,3.2,2.9,2.3,0.9,0,0,495.65
2018,5,15.2,3.1,50,34.8,980.9,8.2,1008.9,2.1,22.2,11.4,10.6,10.1,9.3,6.9,4.7,2.4,642.195
2018,6,19.4,13.6,73,106.6,975.3,15.8,1002.7,2.2,25.6,18.4,17.7,17.3,16.5,14.4,12.1,9.1,565.228
2018,7,23.3,,86,204.6,978.5,24.8,1005.6,1.8,22.6,23.4,22.8,22.4,21.7,19.7,17.4,14.2,540.8
2018,8,20.1,,86,114.4,981.8,20.4,1009.3,1.3,14.8,21.8,21.5,21.4,21.1,20.3,19.3,17.4,526.664
2018,9,14.1,,75,93.8,983.2,12.2,1011.4,2,,15.1,15.3,15.4,15.6,16,16.1,15.8,420.026
2018,10,6.3,0,68,15.2,986.7,6.3,1015.7,2,-1.3,,,,,,,,307.891
2018,11,-5.5,-10.3,71,11.2,991.8,3.2,1022.3,2.2,-13,-0.2,0.4,0.8,1.6,3.5,5.1,7.3,214.394
2018,12,-14.9,-20.2,66,0,993.5,1.4,1025.2,2.3,,-9.2,-8.3,-7.7,-6.6,-3.4,-0.5,2.7,158.607
